transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	99.680000	0.010032	0.000000	2.500000	1.675385	0.040000	1.715385	62.160000
1000	2910.560000	0.343576	2.813694	2.805709	0.226029	0.040000	0.266029	71.749920
2000	5733.520000	0.348826	2.818329	2.813663	0.207111	0.040000	0.247111	71.911240
3000	8485.800000	0.353532	2.796305	2.794533	0.200886	0.040000	0.240886	71.526000
4000	11389.480000	0.351201	2.823156	2.820676	0.197555	0.040000	0.237555	72.138410
5000	14166.320000	0.352950	2.813891	2.811879	0.195328	0.040000	0.235328	71.917248
6000	17083.920000	0.351207	2.831179	2.829449	0.193050	0.040000	0.233050	72.417653
7000	19877.040000	0.352165	2.825741	2.824525	0.193105	0.040006	0.233110	72.253709
8000	22630.640000	0.353503	2.816722	2.815931	0.192358	0.040005	0.232363	72.018680
9000	25468.280000	0.353381	2.819047	2.817930	0.192373	0.040013	0.232386	72.023520
10000	28233.640000	0.354187	2.813677	2.812626	0.191187	0.040012	0.231199	71.944488
