transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	26567.000000	0.037641	26.470110	26.499242	3.966381	0.040040	4.006421	117.076960
2000	54062.400000	0.036994	26.983012	26.958184	4.119262	0.040020	4.159282	117.697520
3000	80960.360000	0.037055	26.954652	26.960293	4.102159	0.040013	4.142172	117.471453
4000	108081.120000	0.037009	26.996189	26.998011	4.095588	0.040010	4.135598	117.490660
5000	136499.840000	0.036630	27.280752	27.282775	4.088547	0.040008	4.128555	117.485200
6000	163167.600000	0.036772	27.178570	27.181326	4.058078	0.040013	4.098091	117.293587
7000	191236.880000	0.036604	27.305832	27.291482	4.068965	0.040017	4.108982	117.298469
8000	218066.000000	0.036686	27.246236	27.249628	4.042809	0.040015	4.082824	117.547005
9000	245206.840000	0.036704	27.234524	27.235317	4.028115	0.040013	4.068128	117.292133
10000	273199.280000	0.036603	27.310323	27.304952	4.019030	0.040012	4.059042	117.568312
