transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	1288.280000	0.000776	0.000000	438.680000	423.386667	0.040000	423.426667	886.200000
1000	187654.800000	0.005329	186.553073	186.680598	163.761793	0.040000	163.801793	711.064160
2000	390597.360000	0.005120	194.751916	195.110475	164.855820	0.040000	164.895820	707.410980
3000	583181.880000	0.005144	194.029210	194.255747	166.074602	0.040000	166.114602	690.866347
4000	779240.640000	0.005133	194.536724	194.407379	165.790387	0.040010	165.830397	688.800740
5000	967481.800000	0.005168	193.277359	193.182022	164.203052	0.040008	164.243060	694.797504
6000	1169930.640000	0.005129	194.806194	194.853442	165.519727	0.040013	165.559740	698.676073
7000	1360346.200000	0.005146	194.178871	194.113963	165.535949	0.040011	165.575960	694.124777
8000	1552326.760000	0.005154	193.904048	193.961005	165.335101	0.040010	165.375111	694.778955
9000	1750633.240000	0.005141	194.393261	194.381124	165.812024	0.040009	165.852033	697.307222
10000	1941026.440000	0.005152	193.993215	194.038392	165.248050	0.040012	165.288062	694.762268
