transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	22870.920000	0.043724	22.760881	22.760879	0.394850	0.040040	0.434890	74.360720
2000	45858.960000	0.043612	22.874517	22.853759	0.395768	0.040040	0.435808	74.646480
3000	70213.480000	0.042727	23.368016	23.362385	0.389384	0.040040	0.429424	74.685867
4000	94044.280000	0.042533	23.483741	23.483838	0.388269	0.040030	0.428299	74.397100
5000	116912.880000	0.042767	23.360688	23.363191	0.387341	0.040040	0.427381	74.283784
6000	140060.160000	0.042839	23.325114	23.317468	0.383780	0.040033	0.423813	74.357880
7000	163636.280000	0.042778	23.360977	23.357304	0.382256	0.040029	0.422284	74.417549
8000	185628.760000	0.043097	23.189894	23.192816	0.383664	0.040025	0.423689	74.382770
9000	208591.920000	0.043146	23.164698	23.163981	0.383681	0.040022	0.423703	74.462182
10000	232714.080000	0.042971	23.260454	23.253677	0.384064	0.040020	0.424084	74.468724
