transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	212.960000	0.004696	0.000000	19.007273	3.770000	0.040000	3.810000	167.840000
1000	14301.000000	0.069925	14.102142	14.144411	0.084269	0.040040	0.124308	182.005800
2000	28997.040000	0.068973	14.399240	14.417265	0.062266	0.040060	0.102326	181.405660
3000	43050.280000	0.069686	14.283868	14.280265	0.054872	0.040053	0.094925	182.885560
4000	57243.680000	0.069877	14.261245	14.254555	0.051165	0.040040	0.091205	183.420220
5000	71341.680000	0.070085	14.228590	14.242523	0.048950	0.040040	0.088990	183.135664
6000	85830.800000	0.069905	14.272019	14.274604	0.047457	0.040033	0.087490	182.514513
7000	99737.280000	0.070184	14.219791	14.214953	0.046398	0.040029	0.086426	182.091531
8000	114029.720000	0.070157	14.228874	14.235321	0.045607	0.040025	0.085632	182.156330
9000	128293.480000	0.070152	14.232750	14.239520	0.044986	0.040022	0.085008	182.321453
10000	142431.080000	0.070209	14.223234	14.225937	0.044490	0.040020	0.084510	181.845048
