transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	83.520000	0.011973	0.000000	6.540000	6.617778	0.040000	6.657778	56.560000
1000	6977.920000	0.143309	6.901301	6.894127	4.169871	0.040000	4.209871	70.164400
2000	13764.080000	0.145306	6.843702	6.840080	4.166770	0.040020	4.206789	69.800520
3000	20365.360000	0.147309	6.762868	6.752558	4.091062	0.040013	4.131076	69.563827
4000	27235.000000	0.146870	6.789567	6.784100	4.108674	0.040010	4.148684	69.830010
5000	34248.400000	0.145992	6.834343	6.831709	4.155808	0.040008	4.195816	69.920496
6000	41492.880000	0.144603	6.902710	6.898888	4.227015	0.040007	4.267022	69.616540
7000	48423.880000	0.144557	6.906752	6.905263	4.227013	0.040006	4.267019	69.490269
8000	55491.800000	0.144165	6.926901	6.926490	4.238586	0.040005	4.278591	69.425495
9000	62597.080000	0.143777	6.946723	6.943132	4.252014	0.040013	4.292027	69.533716
10000	69474.880000	0.143937	6.939830	6.937690	4.251563	0.040016	4.291579	69.400556
