transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	23454.720000	0.042635	23.386947	23.389940	1.900100	0.040000	1.940100	63.104880
2000	47668.720000	0.041956	23.800680	23.778004	1.965369	0.040000	2.005369	62.866940
3000	71895.400000	0.041727	23.942728	23.950217	1.968461	0.040013	2.008474	62.877147
4000	96079.960000	0.041632	24.003201	24.004839	1.983848	0.040020	2.023868	62.817550
5000	120265.320000	0.041575	24.039640	24.041712	1.958680	0.040016	1.998696	62.874160
6000	144959.440000	0.041391	24.148738	24.148520	1.961846	0.040013	2.001860	62.930460
7000	170513.960000	0.041052	24.349593	24.349220	1.946880	0.040011	1.986891	62.911257
8000	195313.320000	0.040960	24.405821	24.404869	1.951053	0.040010	1.991063	62.961745
9000	220826.280000	0.040756	24.528850	24.528029	1.948497	0.040009	1.988506	62.988613
10000	246295.000000	0.040602	24.622846	24.625163	1.956272	0.040008	1.996280	62.968732
