transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	5213.120000	0.191824	5.139099	5.140276	1.974951	0.040000	2.014951	77.285080
2000	10450.520000	0.191378	5.188274	5.185846	2.022809	0.040020	2.062829	77.297840
3000	15639.560000	0.191821	5.188530	5.189472	2.034771	0.040013	2.074784	77.064667
4000	20733.400000	0.192925	5.164851	5.163228	2.007880	0.040010	2.047890	77.085440
5000	25901.200000	0.193041	5.165441	5.168469	2.009553	0.040016	2.049569	77.260120
6000	31090.880000	0.192983	5.169482	5.167773	1.994136	0.040013	2.034149	77.510813
7000	36244.400000	0.193133	5.167201	5.166495	1.987611	0.040017	2.027628	77.538629
8000	41383.000000	0.193316	5.163625	5.163799	1.987301	0.040020	2.027321	77.387445
9000	46642.960000	0.192955	5.174330	5.172924	1.997822	0.040018	2.037840	77.332667
10000	51768.920000	0.193166	5.169493	5.167931	1.990241	0.040016	2.030257	77.277780
