transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	9802.680000	0.102013	9.666186	9.745632	3.844856	0.040000	3.884856	94.910840
2000	19384.200000	0.103177	9.623832	9.643743	3.796378	0.040020	3.836398	95.131900
3000	28871.640000	0.103908	9.578353	9.586450	3.762258	0.040027	3.802285	94.988827
4000	38259.080000	0.104550	9.530613	9.546653	3.744377	0.040040	3.784417	94.537220
5000	47729.280000	0.104757	9.518528	9.531728	3.726757	0.040032	3.766789	94.505616
6000	57417.520000	0.104498	9.546818	9.554215	3.757404	0.040027	3.797431	94.256473
7000	66921.040000	0.104601	9.540632	9.544964	3.746547	0.040023	3.786570	94.346394
8000	76502.920000	0.104571	9.545788	9.549275	3.753209	0.040020	3.793229	94.429870
9000	85985.040000	0.104669	9.538713	9.541274	3.738409	0.040018	3.778426	94.531218
10000	95397.960000	0.104824	9.526133	9.531459	3.729587	0.040016	3.769603	94.292052
