transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	116.360000	0.008594	0.000000	2.948000	3.094545	0.040000	3.134545	61.200000
1000	3244.440000	0.308220	3.131211	3.126791	0.679686	0.040000	0.719686	66.956160
2000	6464.000000	0.309406	3.175408	3.174390	0.664317	0.040040	0.704356	67.900280
3000	9631.000000	0.311494	3.172604	3.170185	0.668524	0.040040	0.708564	67.649307
4000	12842.000000	0.311478	3.182206	3.180318	0.674371	0.040040	0.714411	67.648410
5000	15966.880000	0.313148	3.170738	3.170363	0.667785	0.040032	0.707817	67.528144
6000	19175.080000	0.312906	3.176983	3.176657	0.666365	0.040033	0.706399	67.477560
7000	22323.600000	0.313569	3.172916	3.172327	0.661074	0.040028	0.701102	67.422326
8000	25519.040000	0.313491	3.175732	3.174467	0.658592	0.040030	0.698621	67.497375
9000	28678.640000	0.313822	3.173939	3.173060	0.662297	0.040027	0.702323	67.323204
10000	31861.880000	0.313855	3.174869	3.173811	0.662471	0.040024	0.702495	67.353280
