transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	12302.640000	0.081283	12.166607	12.201470	3.866534	0.040000	3.906534	111.231560
2000	24463.280000	0.081755	12.163622	12.165672	3.878270	0.040000	3.918270	111.892220
3000	36407.960000	0.082400	12.090617	12.103758	3.904676	0.040000	3.944676	111.511680
4000	48612.400000	0.082284	12.119080	12.137163	3.969918	0.040020	4.009938	111.573060
5000	60703.760000	0.082367	12.113535	12.121198	3.943003	0.040016	3.983019	111.192848
6000	73410.000000	0.081733	12.212335	12.215146	4.019497	0.040013	4.059511	110.990467
7000	85806.760000	0.081579	12.238686	12.241558	4.019521	0.040023	4.059544	111.114046
8000	98199.680000	0.081467	12.257967	12.262218	4.014241	0.040020	4.054261	110.842510
9000	110799.880000	0.081228	12.295997	12.297307	4.031685	0.040018	4.071703	110.911142
10000	123120.880000	0.081221	12.298498	12.302160	4.020616	0.040016	4.060631	110.945712
