transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	8641.480000	0.000116	0.000000	318.435385	3.681481	0.040000	3.721481	8617.840000
1000	311145.800000	0.003214	302.807127	303.499727	2.288421	0.040000	2.329834	8143.052440
2000	620638.200000	0.003222	306.151436	306.353498	2.304956	0.040000	2.344956	8208.817820
3000	930221.600000	0.003225	307.295805	307.391643	2.287323	0.040000	2.327323	8242.353307
4000	1231842.240000	0.003247	305.876659	305.957893	2.267660	0.040010	2.307670	8213.845160
5000	1534988.520000	0.003257	305.330474	305.379065	2.236045	0.040008	2.276053	8196.616032
6000	1843706.760000	0.003254	305.895196	305.975883	2.243259	0.040013	2.283272	8225.240167
7000	2154207.200000	0.003249	306.553182	306.595006	2.250457	0.040011	2.290468	8235.553171
8000	2465212.240000	0.003245	307.109734	307.146477	2.253265	0.040010	2.293275	8251.983365
9000	2783972.160000	0.003233	308.404343	308.363918	2.266967	0.040013	2.306980	8278.949924
10000	3089581.680000	0.003237	308.124832	308.151617	2.267145	0.040012	2.307157	8274.182928
