transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	119.720000	0.008353	0.000000	5.350909	1.246957	0.040000	1.286957	91.760000
1000	3873.120000	0.258190	3.757157	3.792008	0.067397	0.040000	0.107397	83.522880
2000	7699.000000	0.259774	3.791536	3.809362	0.053966	0.040000	0.093966	84.127280
3000	11763.960000	0.255016	3.882708	3.893055	0.049345	0.040000	0.089345	85.997840
4000	15656.040000	0.255492	3.885051	3.893101	0.047071	0.040000	0.087071	85.756440
5000	19631.360000	0.254695	3.903109	3.909857	0.045664	0.040008	0.085672	86.183896
6000	23787.200000	0.252236	3.945238	3.951169	0.044723	0.040007	0.084730	86.974133
7000	27789.160000	0.251897	3.953342	3.958353	0.044051	0.040006	0.084056	87.139629
8000	31732.040000	0.252111	3.952034	3.956020	0.043545	0.040005	0.083550	86.892990
9000	35738.320000	0.251831	3.958062	3.961885	0.043153	0.040009	0.083162	87.063716
10000	39539.160000	0.252914	3.942338	3.945129	0.042853	0.040008	0.082861	86.729124
