transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	162.120000	0.006168	0.000000	6.658333	1.576000	0.040000	1.616000	123.360000
1000	7345.720000	0.136134	7.190791	7.171719	0.077463	0.040000	0.117463	181.916000
2000	14536.160000	0.137588	7.190615	7.178054	0.058973	0.040000	0.098973	181.617920
3000	21568.760000	0.139090	7.137926	7.132262	0.052707	0.040000	0.092707	180.890000
4000	28568.720000	0.140013	7.103426	7.100940	0.049553	0.040020	0.089573	180.206590
5000	35624.680000	0.140352	7.093931	7.090748	0.047650	0.040024	0.087674	179.701544
6000	42658.280000	0.140653	7.083874	7.080000	0.046379	0.040020	0.086399	179.413960
7000	49698.480000	0.140849	7.077634	7.074181	0.045488	0.040017	0.085505	179.258086
8000	57096.800000	0.140113	7.117725	7.115249	0.044805	0.040020	0.084825	180.537865
9000	64290.960000	0.139989	7.126218	7.124348	0.044273	0.040022	0.084295	180.815276
10000	71311.200000	0.140230	7.115620	7.113241	0.043846	0.040020	0.083866	180.684780
