transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	42588.960000	0.023480	42.456416	42.462617	0.380040	0.040000	0.420040	107.525640
2000	87637.880000	0.022821	43.753317	43.733313	0.368072	0.040000	0.408072	107.505680
3000	130777.840000	0.022940	43.548796	43.534817	0.371615	0.040013	0.411628	107.917733
4000	175466.760000	0.022796	43.833898	43.836501	0.372354	0.040020	0.412374	108.206100
5000	222419.640000	0.022480	44.457820	44.433102	0.373461	0.040016	0.413477	108.125064
6000	266841.880000	0.022485	44.451889	44.451309	0.375213	0.040013	0.415227	108.296273
7000	312549.640000	0.022396	44.631324	44.616838	0.378190	0.040011	0.418201	108.368160
8000	357899.080000	0.022353	44.721100	44.715721	0.378598	0.040010	0.418608	108.363425
9000	400518.720000	0.022471	44.487579	44.483191	0.381189	0.040009	0.421198	108.444747
10000	445472.520000	0.022448	44.534205	44.531123	0.382511	0.040012	0.422523	108.339200
