transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	43124.520000	0.023189	43.023624	43.020878	0.465204	0.040000	0.505204	118.373760
2000	86822.720000	0.023035	43.361081	43.396160	0.453173	0.040000	0.493173	118.336620
3000	130627.640000	0.022966	43.509076	43.500107	0.453373	0.040000	0.493373	118.865893
4000	176820.920000	0.022622	44.180295	44.133500	0.448295	0.040000	0.488295	118.997890
5000	220523.840000	0.022673	44.084801	44.084950	0.442327	0.040000	0.482327	118.962560
6000	263929.160000	0.022733	43.971535	43.968610	0.436788	0.040007	0.476795	119.280573
7000	308543.480000	0.022687	44.063375	44.070246	0.439303	0.040006	0.479309	119.141709
8000	350615.160000	0.022817	43.814382	43.814485	0.442775	0.040005	0.482780	119.185845
9000	394401.360000	0.022819	43.811250	43.814776	0.442839	0.040009	0.482848	119.158987
10000	439459.360000	0.022755	43.935938	43.933725	0.440776	0.040008	0.480784	119.135968
