transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	673.760000	0.001484	0.000000	28.329524	6.836522	0.040000	6.876522	626.800000
1000	30586.880000	0.032694	29.943063	29.920157	4.315495	0.040000	4.355495	695.776160
2000	61372.000000	0.032588	30.364302	30.331084	4.248566	0.040000	4.288566	708.233280
3000	90996.000000	0.032968	30.117452	30.096869	4.196307	0.040000	4.236307	708.397067
4000	121080.320000	0.033036	30.109167	30.070375	4.177431	0.040000	4.217431	708.431490
5000	150812.160000	0.033154	30.033687	30.013994	4.173583	0.040000	4.213583	707.375264
6000	180767.560000	0.033192	30.020637	30.002059	4.134967	0.040007	4.174973	709.854973
7000	211251.320000	0.033136	30.086807	30.072845	4.133599	0.040006	4.173605	711.731817
8000	240836.880000	0.033218	30.024143	30.015604	4.135246	0.040010	4.175256	710.630985
9000	271283.080000	0.033176	30.071043	30.059198	4.148781	0.040009	4.188790	710.457351
10000	301331.760000	0.033186	30.068807	30.059769	4.151037	0.040008	4.191045	711.431340
