transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	249.800000	0.004003	0.000000	9.920000	3.121538	0.040000	3.161538	169.240000
1000	8193.000000	0.122055	7.951151	7.992468	0.118129	0.040156	0.158285	201.769560
2000	17039.120000	0.117377	8.398859	8.413847	0.079921	0.040079	0.120000	214.872500
3000	25796.600000	0.116294	8.518439	8.529378	0.066737	0.040053	0.106790	218.546387
4000	35072.760000	0.114049	8.707917	8.717673	0.060099	0.040040	0.100139	224.207080
5000	44235.560000	0.113031	8.798912	8.802929	0.056156	0.040032	0.096188	226.617280
6000	53353.880000	0.112457	8.852155	8.856501	0.053477	0.040027	0.093504	228.593047
7000	61952.480000	0.112990	8.815928	8.817512	0.051555	0.040023	0.091578	227.304686
8000	69904.280000	0.114442	8.707898	8.710734	0.050127	0.040020	0.090147	224.579025
9000	78778.120000	0.114245	8.726338	8.728820	0.049005	0.040018	0.089023	225.169640
10000	87373.840000	0.114451	8.713275	8.715080	0.048107	0.040016	0.088123	224.793512
