transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	7470.920000	0.000134	0.000000	276.193600	5.343077	0.040000	5.383077	7439.360000
1000	232468.560000	0.004302	225.222863	226.466719	4.176976	0.040000	4.216976	5939.179280
2000	471984.280000	0.004237	232.372866	232.799032	4.344284	0.040000	4.384284	6066.981780
3000	694612.320000	0.004319	229.123508	229.512553	4.267716	0.040000	4.307716	6004.990413
4000	922516.920000	0.004336	228.818705	229.108052	4.263785	0.040010	4.303795	5980.066680
5000	1154788.760000	0.004330	229.509470	229.741744	4.255984	0.040008	4.295992	5996.426024
6000	1384338.840000	0.004334	229.516239	229.746704	4.221683	0.040013	4.261696	5999.492367
7000	1613252.240000	0.004339	229.430107	229.629264	4.222790	0.040017	4.262808	5995.982560
8000	1847982.080000	0.004329	230.092657	230.236231	4.216987	0.040015	4.257002	6010.541945
9000	2069671.880000	0.004349	229.158902	229.314281	4.218624	0.040013	4.258637	5984.115013
10000	2308567.160000	0.004332	230.132637	230.224527	4.203335	0.040012	4.243347	6008.875812
